Sat, 23 Jul 2022 18:09:47 GMT | ERROR | Model.log | Error: Unknown column 'email_id' in 'where clause' | 
Sat, 23 Jul 2022 19:59:13 GMT | ERROR | Model.log | Error: Unknown column 'email_id' in 'field list' | 
Sat, 23 Jul 2022 20:02:10 GMT | ERROR | Model.log | Error: Unknown column 'mobile_no' in 'field list' | 
Sat, 23 Jul 2022 20:03:57 GMT | ERROR | Model.log | Error: Unknown column 'full_name' in 'field list' | 
Sat, 23 Jul 2022 20:05:43 GMT | ERROR | Model.log | Error: Unknown column 'password' in 'field list' | 
Sat, 23 Jul 2022 20:06:28 GMT | ERROR | Model.log | Error: Column 'full_name' cannot be null | 
Sat, 23 Jul 2022 20:07:20 GMT | ERROR | Model.log | Error: Column 'add_by' cannot be null | 
Sat, 23 Jul 2022 20:11:07 GMT | ERROR | Model.log | Error: Column 'full_name' cannot be null | 
Sat, 23 Jul 2022 20:12:44 GMT | ERROR | Model.log | Error: Column 'full_name' cannot be null | 
Sat, 23 Jul 2022 20:13:44 GMT | ERROR | Model.log | Error: Column 'full_name' cannot be null | 
Sun, 24 Jul 2022 07:43:53 GMT | ERROR | Model.log | Error: Unknown column 'last_login_dt' in 'field list' | 
